label2,label3,部位,溫度,
tops,cut-out,1,"4,5",
tops,shirts-and-blouses,1,"4,5,6",
tops,puff-sleeve,1,"4,5,6",
tops,bandeau,1,"6,7",
tops,bralette,1,"6,7",
tops,vests,3,"4,5",
tops,short-sleeve,1,"4,5,6,7",
tops,long-sleeve,1,"3,4,5",
tops,cropped-tops,1,"6,7",
tops,bodies,1,"4,5,6",
tops,t-shirts,1,"4,5,6,7",
tops,printed-graphic-t-shirts,1,"4,5,6,7",
dresses,cami,1,"4,5",
dresses,knitted-dresses,1,"3,4",
dresses,long-sleeve,1,"3,4",
dresses,linen,1,"5,6",
dresses,t-shirt-dresses,1,"5,6",
dresses,short-dresses,1,"4,5",
dresses,denim,1,"4,5",
dresses,midi-dresses,1,"4,5",
dresses,maxi-dresses,1,"3,4",
dresses,bodycon-dresses,1,"4,5",
dresses,party-dresses,1,"4,5",
dresses,lace-dresses,1,"4,5",
dresses,shirt-dresses,1,"4,5",
dresses,sequin-dresses,1,"4,5",
dresses,wrap-dresses,1,4,
dresses,skater,1,4,
dresses,jumper-dresses,1,"4,5",
dresses,kaftan,1,"5,6",
cardigans-and-jumpers,,1,"1,2,3,4",
trousers-and-leggings,,2,"3,4,5",
shirts-and-blouses,linen,1,"4,5",
shirts-and-blouses,shirts,1,"4,5",
shirts-and-blouses,blouses,1,"4,5",
shirts-and-blouses,tunics,1,"4,5",
shirts-and-blouses,off-shoulder,1,"5,6",
shirts-and-blouses,denim-shirts,1,"4,5",
hoodies-sweatshirts,hoodies,1,"2,3,4",
hoodies-sweatshirts,sweatshirts,1,"2,3,4",
knitwear,,1,"1,2,3,4",
trousers,linen,2,"4,5,6",
trousers,wide-leg,2,"1,2,3,4",
trousers,leather,2,"2,3,4",
trousers,high-waisted,2,"3,4,5,6",#高腰版型無關溫度?
trousers,paperbag-trousers,2,"4,5,6",
trousers,cargo,2,"4,5",
trousers,leggings,2,"3,4,5,6",#緊身褲版型好像無關溫度
trousers,joggers,2,"4,5,6",
trousers,flare,2,"4,5,6",
trousers,chinos-slacks,2,"3,4,5,6",
trousers,smart-trousers,2,"4,5,6",
trousers,culottes,2,"5,6",
jeans,wide-leg,2,"2,3,4,5,6",
jeans,skinny,2,"2,3,4,5,6",
jeans,shaping,2,"2,3,4,5,6",
jeans,straight,2,"2,3,4,5,6",
jeans,flare,2,"2,3,4,5,6",
jeans,bootcut,2,"2,3,4,5,6",
jeans,loose,2,"2,3,4,5,6",
jeans,boyfriend,2,"2,3,4,5,6",
skirts,slip,2,"5,6,7",
jeans,mom,2,"2,3,4,5,6",
skirts,mini,2,"6,7",
skirts,pleated,2,"4,5,6,7",
skirts,leather,2,"4,5",
skirts,short-skirts,2,"6,7",
skirts,midi-skirts,2,"4,5",
skirts,long-skirts,2,"4,5",
skirts,pencil-skirts,2,"4,5",
skirts,denim-skirts,2,"4,5",
skirts,high-waisted-skirts,2,"4,5,6","分類是板型,跟溫度好像無關"
skirts,skater-skirts,2,"5,6,7","分類是板型,跟溫度好像無關"
shorts,cycling,2,"6,7",
skirts,wrap-skirts,2,"5,6,7","分類是板型,跟溫度好像無關"
shorts,bermudas,2,"5,6,7",
shorts,high-waisted-shorts,2,"5,6,7",
blazers-and-waistcoats,,3,"1,2,3,4",
jackets-and-coats,puffer,3,"1,2,3",
jackets-and-coats,biker,3,"2,3,4",
jackets-and-coats,denim-jackets,3,"2,3,4,5",
jackets-and-coats,parkas,3,"1,2,3",
jackets-and-coats,bomber-jackets,3,"3,4,5",
jackets-and-coats,coats,3,"1,2,3",
jackets-and-coats,jackets,3,"3,4,5",
jackets-and-coats,trench-coat,3,"1,2,3",
jackets-and-coats,overshirts,3,"2,3,4",
jackets-and-coats,gilets,3,"2,3,4",
cardigans-and-jumpers,sweater-vestss,3,"1,2,3",
cardigans-and-jumpers,cardigans,3,"2,3,4",
cardigans-and-jumpers,jumpers,1,"1,2,3",
cardigans-and-jumpers,turtlenecks,1,"1,2,3",
jumpsuits-playsuits,dungarees,2,"1,2,3,4,5",
jumpsuits-playsuits,long-jumpsuits,1,"3,4",
jumpsuits-playsuits,playsuits-rompers,1,"5,6",
sportswear,sports-bras,1,"5,6",
sportswear,jackets,2,"2,3,4",
sportswear,tops-t-shirts,1,"2,3,4,5,6,7",
sportswear,leggings-tights,2,"2,3,4,5,6",
sportswear,hoodies,1,"2,3,4,5",
sportswear,shorts,2,"6,7",
sportswear,accessories,5,"1,2,3,4,5,6,7",# 太多不同類型了...
sportswear,trousers,2,"1,2,3,4,5",
sportswear,yoga,1,"3,4,5,6",
accessories,jewellery,5,"1,2,3,4,5,6,7",
accessories,bags,5,"1,2,3,4,5,6,7",
accessories,belts,5,"1,2,3,4,5,6,7",
accessories,face-masks,5,"1,2,3,4,5,6,7",
accessories,sunglasses,5,"1,2,3,4,5,6,7",
accessories,hair-accessories,5,"1,2,3,4,5,6,7",
accessories,gloves,5,"1,2,3,4,5,6,7",
accessories,scarves,5,"1,2,3,4,5,6,7",
accessories,mobile-accessories,5,"1,2,3,4,5,6,7",
accessories,hats,5,"1,2,3,4,5,6,7",
shoes,mules,4,"1,2,3,4,5,6,7",
shoes,pumps-high-heels,4,"1,2,3,4,5,6,7",
accessories,purses-wallets,5,"1,2,3,4,5,6,7",
accessories,ponchos-sarongs,5,"1,2,3,4,5,6,7",
shoes,sandals-and-espandrillos,4,"6,7",
shoes,ballerinas-flats,4,"1,2,3,4,5,6,7",
shoes,trainers,4,"1,2,3,4,5,6,7",
